"date","hour","minute","dep","arr","dep_delay","arr_delay","carrier","flight","dest","plane","cancelled","time","dist"
2011-01-01 12:00:00,14,0,1400,1500,0,-10,"AA",428,"DFW","N576AA",0,40,224
2011-01-02 12:00:00,14,1,1401,1501,1,-9,"AA",428,"DFW","N557AA",0,45,224
2011-01-03 12:00:00,13,52,1352,1502,-8,-8,"AA",428,"DFW","N541AA",0,48,224
2011-01-04 12:00:00,14,3,1403,1513,3,3,"AA",428,"DFW","N403AA",0,39,224
2011-01-05 12:00:00,14,5,1405,1507,5,-3,"AA",428,"DFW","N492AA",0,44,224
2011-01-06 12:00:00,13,59,1359,1503,-1,-7,"AA",428,"DFW","N262AA",0,45,224
2011-01-07 12:00:00,13,59,1359,1509,-1,-1,"AA",428,"DFW","N493AA",0,43,224
2011-01-08 12:00:00,13,55,1355,1454,-5,-16,"AA",428,"DFW","N477AA",0,40,224
2011-01-09 12:00:00,14,43,1443,1554,43,44,"AA",428,"DFW","N476AA",0,41,224
2011-01-10 12:00:00,14,43,1443,1553,43,43,"AA",428,"DFW","N504AA",0,45,224
2011-01-11 12:00:00,14,29,1429,1539,29,29,"AA",428,"DFW","N565AA",0,42,224
2011-01-12 12:00:00,14,19,1419,1515,19,5,"AA",428,"DFW","N577AA",0,41,224
2011-01-13 12:00:00,13,58,1358,1501,-2,-9,"AA",428,"DFW","N476AA",0,44,224
2011-01-14 12:00:00,13,57,1357,1504,-3,-6,"AA",428,"DFW","N552AA",0,47,224
2011-01-15 12:00:00,13,59,1359,1459,-1,-11,"AA",428,"DFW","N462AA",0,44,224
2011-01-16 12:00:00,13,59,1359,1509,-1,-1,"AA",428,"DFW","N555AA",0,41,224
2011-01-17 12:00:00,15,30,1530,1634,90,84,"AA",428,"DFW","N518AA",0,48,224
2011-01-18 12:00:00,14,8,1408,1508,8,-2,"AA",428,"DFW","N507AA",0,42,224
2011-01-19 12:00:00,13,56,1356,1503,-4,-7,"AA",428,"DFW","N523AA",0,46,224
2011-01-20 12:00:00,15,7,1507,1622,67,72,"AA",428,"DFW","N425AA",0,42,224
2011-01-21 12:00:00,13,57,1357,1459,-3,-11,"AA",428,"DFW","N251AA",0,47,224
2011-01-22 12:00:00,13,55,1355,1456,-5,-14,"AA",428,"DFW","N551AA",0,44,224
2011-01-23 12:00:00,13,56,1356,1501,-4,-9,"AA",428,"DFW","N479AA",0,40,224
2011-01-24 12:00:00,13,56,1356,1513,-4,3,"AA",428,"DFW","N531AA",0,43,224
2011-01-25 12:00:00,13,52,1352,1452,-8,-18,"AA",428,"DFW","N561AA",0,40,224
2011-01-26 12:00:00,13,53,1353,1455,-7,-15,"AA",428,"DFW","N541AA",0,40,224
2011-01-27 12:00:00,13,56,1356,1458,-4,-12,"AA",428,"DFW","N512AA",0,40,224
2011-01-28 12:00:00,13,59,1359,1505,-1,-5,"AA",428,"DFW","N4UBAA",0,46,224
2011-01-29 12:00:00,13,55,1355,1455,-5,-15,"AA",428,"DFW","N491AA",0,46,224
2011-01-30 12:00:00,13,59,1359,1456,-1,-14,"AA",428,"DFW","N561AA",0,39,224
2011-01-31 12:00:00,14,41,1441,1553,41,43,"AA",428,"DFW","N505AA",0,39,224
2011-01-01 12:00:00,7,28,728,840,8,5,"AA",460,"DFW","N520AA",0,41,224
2011-01-02 12:00:00,7,19,719,821,-1,-14,"AA",460,"DFW","N537AA",0,43,224
2011-01-03 12:00:00,7,17,717,834,-3,-1,"AA",460,"DFW","N512AA",0,46,224
2011-01-04 12:00:00,7,14,714,821,-6,-14,"AA",460,"DFW","N478AA",0,46,224
2011-01-05 12:00:00,7,18,718,822,-2,-13,"AA",460,"DFW","N551AA",0,44,224
2011-01-06 12:00:00,7,19,719,821,-1,-14,"AA",460,"DFW","N251AA",0,44,224
2011-01-07 12:00:00,7,11,711,827,-9,-8,"AA",460,"DFW","N478AA",0,42,224
2011-01-08 12:00:00,7,13,713,805,-7,-30,"AA",460,"DFW","N550AA",0,40,224
2011-01-09 12:00:00,7,14,714,829,-6,-6,"AA",460,"DFW","N586AA",0,51,224
2011-01-10 12:00:00,7,15,715,818,-5,-17,"AA",460,"DFW","N587AA",0,44,224
2011-01-11 12:00:00,7,17,717,820,-3,-15,"AA",460,"DFW","N574AA",0,44,224
2011-01-12 12:00:00,7,14,714,814,-6,-21,"AA",460,"DFW","N580AA",0,42,224
2011-01-13 12:00:00,7,22,722,841,2,6,"AA",460,"DFW","N586AA",0,49,224
2011-01-14 12:00:00,7,15,715,828,-5,-7,"AA",460,"DFW","N468AA",0,47,224
2011-01-15 12:00:00,7,19,719,833,-1,-2,"AA",460,"DFW","N251AA",0,49,224
2011-01-16 12:00:00,7,43,743,843,23,8,"AA",460,"DFW","N546AA",0,45,224
2011-01-17 12:00:00,7,24,724,842,4,7,"AA",460,"DFW","N559AA",0,54,224
2011-01-18 12:00:00,7,21,721,827,1,-8,"AA",460,"DFW","N558AA",0,46,224
2011-01-19 12:00:00,7,14,714,833,-6,-2,"AA",460,"DFW","N574AA",0,51,224
2011-01-20 12:00:00,7,19,719,822,-1,-13,"AA",460,"DFW","N471AA",0,44,224
2011-01-21 12:00:00,7,12,712,811,-8,-24,"AA",460,"DFW","N278AA",0,40,224
2011-01-22 12:00:00,7,17,717,829,-3,-6,"AA",460,"DFW","N499AA",0,47,224
2011-01-23 12:00:00,7,10,710,814,-10,-21,"AA",460,"DFW","N556AA",0,42,224
2011-01-24 12:00:00,7,31,731,904,11,29,"AA",460,"DFW","N545AA",0,42,224
2011-01-25 12:00:00,7,19,719,818,-1,-17,"AA",460,"DFW","N541AA",0,40,224
2011-01-26 12:00:00,7,16,716,824,-4,-11,"AA",460,"DFW","N512AA",0,44,224
2011-01-27 12:00:00,7,15,715,825,-5,-10,"AA",460,"DFW","N4UCAA",0,44,224
2011-01-28 12:00:00,7,41,741,846,21,11,"AA",460,"DFW","N403AA",0,44,224
2011-01-29 12:00:00,7,20,720,825,0,-10,"AA",460,"DFW","N557AA",0,43,224
2011-01-30 12:00:00,7,16,716,820,-4,-15,"AA",460,"DFW","N498AA",0,44,224
2011-01-31 12:00:00,7,18,718,816,-2,-19,"AA",460,"DFW","N493AA",0,40,224
2011-01-02 12:00:00,19,59,1959,2106,-6,-14,"AA",533,"DFW","N461AA",0,44,224
2011-01-03 12:00:00,19,58,1958,2107,-7,-13,"AA",533,"DFW","N4XGAA",0,48,224
2011-01-04 12:00:00,21,0,2100,2207,55,47,"AA",533,"DFW","N4XGAA",0,42,224
2011-01-05 12:00:00,19,58,1958,2106,-7,-14,"AA",533,"DFW","N546AA",0,44,224
2011-01-06 12:00:00,19,55,1955,2103,-10,-17,"AA",533,"DFW","N485AA",0,41,224
2011-01-07 12:00:00,19,58,1958,2055,-7,-25,"AA",533,"DFW","N555AA",0,44,224
2011-01-09 12:00:00,20,45,2045,2155,40,35,"AA",533,"DFW","N4WYAA",0,44,224
2011-01-10 12:00:00,20,29,2029,2133,24,13,"AA",533,"DFW","N577AA",0,43,224
2011-01-11 12:00:00,19,53,1953,2051,-12,-29,"AA",533,"DFW","N505AA",0,44,224
2011-01-12 12:00:00,20,15,2015,2113,10,-7,"AA",533,"DFW","N555AA",0,39,224
2011-01-13 12:00:00,20,20,2020,2116,15,-4,"AA",533,"DFW","N4XCAA",0,44,224
2011-01-14 12:00:00,21,19,2119,2229,74,69,"AA",533,"DFW","N549AA",0,45,224
2011-01-16 12:00:00,19,56,1956,2119,-9,-1,"AA",533,"DFW","N478AA",0,42,224
2011-01-17 12:00:00,20,30,2030,2131,25,11,"AA",533,"DFW","N492AA",0,44,224
2011-01-18 12:00:00,19,57,1957,2106,-8,-14,"AA",533,"DFW","N514AA",0,44,224
2011-01-19 12:00:00,20,29,2029,2123,24,3,"AA",533,"DFW","N550AA",0,44,224
2011-01-20 12:00:00,20,4,2004,2121,-1,1,"AA",533,"DFW","N512AA",0,45,224
2011-01-21 12:00:00,20,36,2036,2134,31,14,"AA",533,"DFW","N505AA",0,45,224
2011-01-23 12:00:00,20,1,2001,2057,-4,-23,"AA",533,"DFW","N530AA",0,39,224
2011-01-24 12:00:00,20,43,2043,2139,38,19,"AA",533,"DFW","N4XJAA",0,41,224
2011-01-25 12:00:00,20,4,2004,2107,-1,-13,"AA",533,"DFW","N585AA",0,44,224
2011-01-26 12:00:00,20,9,2009,2103,4,-17,"AA",533,"DFW","N403AA",0,39,224
2011-01-27 12:00:00,20,39,2039,2130,34,10,"AA",533,"DFW","N506AA",0,40,224
2011-01-28 12:00:00,19,59,1959,2100,-6,-20,"AA",533,"DFW","N466AA",0,42,224
2011-01-30 12:00:00,19,59,1959,2132,-6,12,"AA",533,"DFW","N455AA",0,43,224
2011-01-31 12:00:00,19,54,1954,2105,-11,-15,"AA",533,"DFW","N477AA",0,38,224
2011-01-01 12:00:00,16,31,1631,1736,1,-9,"AA",1121,"DFW","N4WVAA",0,37,224
2011-01-02 12:00:00,16,36,1636,1759,6,14,"AA",1121,"DFW","N579AA",0,46,224
2011-01-03 12:00:00,16,23,1623,1738,-7,-7,"AA",1121,"DFW","N468AA",0,47,224
2011-01-04 12:00:00,16,29,1629,1732,-1,-13,"AA",1121,"DFW","N4WYAA",0,43,224
2011-01-05 12:00:00,16,29,1629,1740,-1,-5,"AA",1121,"DFW","N481AA",0,43,224
2011-01-06 12:00:00,16,25,1625,1732,-5,-13,"AA",1121,"DFW","N498AA",0,43,224
2011-01-07 12:00:00,16,30,1630,1733,0,-12,"AA",1121,"DFW","N525AA",0,43,224
2011-01-08 12:00:00,16,27,1627,1736,-3,-9,"AA",1121,"DFW","N583AA",0,45,224
2011-01-09 12:00:00,18,35,1835,1951,125,126,"AA",1121,"DFW","N574AA",0,50,224
2011-01-10 12:00:00,16,39,1639,1740,9,-5,"AA",1121,"DFW","N531AA",0,41,224
2011-01-11 12:00:00,17,52,1752,1855,82,70,"AA",1121,"DFW","N586AA",0,41,224
2011-01-12 12:00:00,16,31,1631,1739,1,-6,"AA",1121,"DFW","N468AA",0,44,224
2011-01-13 12:00:00,16,30,1630,1733,0,-12,"AA",1121,"DFW","N583AA",0,45,224
2011-01-14 12:00:00,16,29,1629,1734,-1,-11,"AA",1121,"DFW","N551AA",0,47,224
2011-01-15 12:00:00,16,32,1632,1736,2,-9,"AA",1121,"DFW","N274AA",0,48,224
2011-01-16 12:00:00,17,8,1708,1819,38,34,"AA",1121,"DFW","N558AA",0,42,224
2011-01-17 12:00:00,16,32,1632,1744,2,-1,"AA",1121,"DFW","N580AA",0,51,224
2011-01-18 12:00:00,16,25,1625,1740,-5,-5,"AA",1121,"DFW","N515AA",0,45,224
2011-01-19 12:00:00,16,29,1629,1731,-1,-14,"AA",1121,"DFW","N538AA",0,46,224
2011-01-20 12:00:00,16,41,1641,1752,11,7,"AA",1121,"DFW","N586AA",0,41,224
2011-01-21 12:00:00,16,38,1638,1746,8,1,"AA",1121,"DFW","N558AA",0,47,224
2011-01-22 12:00:00,16,23,1623,1742,-7,-3,"AA",1121,"DFW","N504AA",0,47,224
2011-01-23 12:00:00,16,22,1622,1738,-8,-7,"AA",1121,"DFW","N489AA",0,44,224
2011-01-24 12:00:00,16,21,1621,1749,-9,4,"AA",1121,"DFW","N484AA",0,43,224
2011-01-25 12:00:00,16,27,1627,1733,-3,-12,"AA",1121,"DFW","N4UCAA",0,41,224
2011-01-26 12:00:00,16,34,1634,1745,4,0,"AA",1121,"DFW","N556AA",0,41,224
2011-01-27 12:00:00,16,34,1634,1740,4,-5,"AA",1121,"DFW","N557AA",0,43,224
2011-01-28 12:00:00,16,25,1625,1730,-5,-15,"AA",1121,"DFW","N553AA",0,44,224
2011-01-29 12:00:00,16,30,1630,1731,0,-14,"AA",1121,"DFW","N584AA",0,47,224
2011-01-30 12:00:00,16,35,1635,1733,5,-12,"AA",1121,"DFW","N403AA",0,39,224
2011-01-31 12:00:00,16,56,1656,1758,26,13,"AA",1121,"DFW","N455AA",0,41,224
2011-01-01 12:00:00,17,56,1756,2112,1,-3,"AA",1294,"MIA","N3DGAA",0,113,964
